Source,Target,Type
palm,chevrolet,Undirected
palm,camaro,Undirected
palm,ready,Undirected
palm,per,Undirected
beach,auction,Undirected
beach,custom,Undirected
beach,1967,Undirected
beach,chevrolet,Undirected
beach,camaro,Undirected
beach,ready,Undirected
beach,per,Undirected
auction,custom,Undirected
auction,1967,Undirected
auction,chevrolet,Undirected
auction,camaro,Undirected
auction,ready,Undirected
auction,per,Undirected
custom,1967,Undirected
custom,chevrolet,Undirected
custom,camaro,Undirected
custom,ready,Undirected
custom,per,Undirected
1967,chevrolet,Undirected
1967,camaro,Undirected
1967,ready,Undirected
1967,per,Undirected
chevrolet,camaro,Undirected
chevrolet,ready,Undirected
chevrolet,per,Undirected
camaro,ready,Undirected
camaro,per,Undirected
ready,per,Undirected
rt,fordmustang,Undirected
rt,see,Undirected
rt,new,Undirected
rt,fordmustang,Undirected
rt,one,Undirected
rt,mustang,Undirected
rt,gt500,Undirected
fordmustang,see,Undirected
fordmustang,new,Undirected
fordmustang,fordmustang,Undirected
fordmustang,one,Undirected
fordmustang,mustang,Undirected
fordmustang,gt500,Undirected
see,new,Undirected
see,fordmustang,Undirected
see,one,Undirected
see,mustang,Undirected
see,gt500,Undirected
new,fordmustang,Undirected
new,one,Undirected
new,mustang,Undirected
new,gt500,Undirected
fordmustang,one,Undirected
fordmustang,mustang,Undirected
fordmustang,gt500,Undirected
one,mustang,Undirected
one,gt500,Undirected
mustang,gt500,Undirected
rt,stewarthaasrcng,Undirected
rt,nothing,Undirected
rt,better,Undirected
rt,good,Undirected
rt,looking,Undirected
rt,ford,Undirected
rt,mustang,Undirected
rt,lucky,Undirected
rt,u,Undirected
rt,ve,Undirected
rt,got,Undirected
rt,quite,Undirected
rt,bristol,Undirected
stewarthaasrcng,nothing,Undirected
stewarthaasrcng,better,Undirected
stewarthaasrcng,good,Undirected
stewarthaasrcng,looking,Undirected
stewarthaasrcng,ford,Undirected
stewarthaasrcng,mustang,Undirected
stewarthaasrcng,lucky,Undirected
stewarthaasrcng,u,Undirected
stewarthaasrcng,ve,Undirected
stewarthaasrcng,got,Undirected
stewarthaasrcng,quite,Undirected
stewarthaasrcng,bristol,Undirected
nothing,better,Undirected
nothing,good,Undirected
nothing,looking,Undirected
nothing,ford,Undirected
nothing,mustang,Undirected
nothing,lucky,Undirected
nothing,u,Undirected
nothing,ve,Undirected
nothing,got,Undirected
nothing,quite,Undirected
nothing,bristol,Undirected
better,good,Undirected
better,looking,Undirected
better,ford,Undirected
better,mustang,Undirected
better,lucky,Undirected
better,u,Undirected
better,ve,Undirected
better,got,Undirected
better,quite,Undirected
better,bristol,Undirected
good,looking,Undirected
good,ford,Undirected
good,mustang,Undirected
good,lucky,Undirected
good,u,Undirected
good,ve,Undirected
